learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
39200.0,1.169669594,0.0,39200.0,62.7,18.817035798857777,21.47368421052631,3.8659793814433026,8551.0,0.0,0.0,0.0
39300.0,1.172440032,0.0,39300.0,62.6,18.480156239101618,22.88659793814433,3.6082474226804155,8651.0,0.0,0.0,0.0
39400.0,1.175325772,0.0,39400.0,62.5,18.790388246911863,19.87179487179487,4.336734693877554,8751.0,0.0,0.0,0.0
39500.0,1.178873318,0.0,39500.0,61.0,15.184940324993908,17.021276595744673,0.5102040816326534,8851.0,0.0,0.0,0.0
39600.0,1.181815672,0.0,39600.0,60.3,14.352531022937132,18.979591836734688,1.4888337468982642,8951.0,0.0,0.0,0.0
39700.0,1.184835223,0.0,39700.0,58.4,11.78665942864897,17.460317460317455,2.3474178403755888,9051.0,0.0,0.0,0.0
39800.0,1.187806539,0.0,39800.0,58.4,11.756720065164272,18.431372549019603,1.88679245283019,9151.0,0.0,0.0,0.0
39900.0,1.190786592,0.0,39900.0,57.599999999999994,9.957739599481828,17.50972762645914,1.1655011655011664,9251.0,0.0,0.0,0.0
40000.0,1.19394661,0.0,40000.0,56.699999999999996,9.40816121581359,15.758754863813222,3.5634743875278185,9351.0,0.0,0.0,0.0
40100.0,1.196937914,0.0,40100.0,55.50000000000001,8.338139573205913,14.587332053742816,4.710920770877949,9451.0,0.0,0.0,0.0
40200.0,1.200149559,0.0,40200.0,54.0,7.347728005156314,9.980430528375743,6.504065040650413,9551.0,0.0,0.0,1.0
40300.0,1.203246563,0.0,40300.0,52.2,6.183268433613874,3.822937625754531,3.629032258064519,9651.0,0.0,0.0,0.0
40400.0,1.206171766,0.0,40400.0,50.5,3.412372582382428,1.980198019801982,0.2016129032258066,9751.0,0.0,0.0,0.0
40500.0,1.209092393,0.0,40500.0,50.1,4.589639849790828,-0.8080808080808087,-2.25409836065574,9851.0,0.0,0.0,0.0
40600.0,1.212168659,0.0,40600.0,49.4,4.818515620297372,-4.761904761904766,-7.203389830508482,9951.0,0.0,0.0,0.0
40700.0,1.215050548,0.0,40700.0,49.2,5.032528228520163,-6.276150627615068,-11.403508771929834,10051.0,0.0,0.0,0.0
40800.0,1.217927614,0.0,40800.0,47.8,4.083965117432825,-13.725490196078443,-18.367346938775526,10151.0,0.0,0.0,0.0
40900.0,1.220881819,0.0,40900.0,46.800000000000004,2.772091935200892,-16.41137855579869,-24.882629107981202,10251.0,0.0,0.0,0.0
41000.0,1.223863472,0.0,41000.0,46.9,2.9080057926070975,-14.686825053995694,-31.76178660049628,10351.0,0.0,0.0,0.0
